scenario,policy,run,total_cost,stockouts,service_level,collapse_events,avg_backorders,avg_inventory,time_to_first_collapse
baseline,no_intervention,46,7079910436.482144,16385.0,0.42496204129059517,16356.0,28721.28201060493,33.86516335821436,1.0
baseline,no_intervention,47,7067648615.910236,16384.0,0.4253549770811707,16356.0,28568.96289544079,34.698535221622166,1.0
baseline,no_intervention,48,7110214188.716404,16387.0,0.42269428089679967,16363.0,28822.61058052577,33.694282140610945,1.0
baseline,no_intervention,49,7096051020.881091,16385.0,0.4252180513445122,16349.0,28667.538448525225,33.9534873380397,1.0
baseline,no_intervention,50,7107492609.515252,16382.0,0.4248350977557377,16353.0,28662.5344702535,33.4648130397636,1.0
baseline,no_intervention,51,7093611031.649733,16387.0,0.4239662334750488,16357.0,28683.604791923502,32.659440209168274,1.0
baseline,no_intervention,52,7073235366.893645,16389.0,0.4246285404223425,16339.0,28643.593629826464,33.41879610296412,1.0
baseline,no_intervention,53,7113081790.45797,16384.0,0.4239452422599978,16345.0,28787.089834409715,33.03101844688879,1.0
baseline,no_intervention,54,7085092967.134342,16384.0,0.42470072554921084,16343.0,28633.9086862502,32.882465565719485,1.0
baseline,no_intervention,55,7101065929.68214,16387.0,0.4230957742230379,16344.0,28707.172395311198,33.560589626727776,1.0
baseline,no_intervention,56,7105304698.393895,16385.0,0.42343867662175105,16346.0,28706.720210919182,33.292265480087885,1.0
baseline,no_intervention,57,7062660675.856444,16384.0,0.4252132914019348,16332.0,28622.215720465385,33.32272678226465,1.0
baseline,no_intervention,58,7103148317.916646,16383.0,0.4238334242452593,16339.0,28712.102487938693,33.783323738929944,1.0
baseline,no_intervention,59,7091830022.77717,16386.0,0.4255203120768362,16347.0,28700.11772928501,32.9202690148243,1.0
baseline,no_intervention,60,7097990167.623338,16395.0,0.4244538176701348,16343.0,28725.92532181175,33.672582353854715,1.0
baseline,no_intervention,61,7117327334.439579,16384.0,0.42352969118647305,16356.0,28782.940555833884,33.24061620960536,1.0
baseline,no_intervention,62,7113986544.623064,16388.0,0.4254897698598493,16350.0,28783.449993645754,33.61015256203972,1.0
baseline,no_intervention,63,7092345151.704418,16385.0,0.42515517573163353,16361.0,28661.532311464613,33.26370985583123,1.0
baseline,no_intervention,64,7155883441.03859,16385.0,0.42185632311840876,16348.0,28961.39306186359,33.206943682098256,2.0
baseline,no_intervention,65,7091396260.09795,16388.0,0.4246292954758721,16348.0,28676.217711939076,33.159677094577006,1.0
baseline,no_intervention,66,7140804095.397961,16381.0,0.4205540944340593,16348.0,28935.388101638462,33.45036182738505,1.0
baseline,no_intervention,67,7088398514.184067,16382.0,0.424327756953912,16354.0,28722.002690335983,34.092238632678715,1.0
baseline,no_intervention,68,7064760757.119649,16379.0,0.4268935842109284,16348.0,28555.73603298373,33.45850391369107,1.0
baseline,no_intervention,69,7067908246.839102,16385.0,0.42515248634168246,16336.0,28596.676637402037,32.15497419811073,1.0
baseline,no_intervention,70,7087713634.597327,16384.0,0.4248339886019241,16346.0,28689.720410858325,33.0103574682729,1.0
baseline,no_intervention,71,7099108022.908422,16387.0,0.42398619092444395,16355.0,28748.41506257357,33.103442061176864,1.0
baseline,no_intervention,72,7091076360.796709,16377.0,0.4257056155412762,16334.0,28678.947175159592,32.987763323707206,1.0
baseline,no_intervention,73,7108968082.361075,16382.0,0.42422427268176605,16353.0,28762.395591390385,33.58714561784762,1.0
baseline,no_intervention,74,7105437732.714844,16383.0,0.42121624087494064,16344.0,28774.623443810946,34.288326112843045,1.0
baseline,no_intervention,75,7083214214.079263,16382.0,0.4231532954126076,16350.0,28671.514315794404,33.01981298170819,1.0
baseline,no_intervention,76,7093180386.68955,16389.0,0.4241649883669828,16339.0,28659.220966300978,34.21943173014348,1.0
baseline,no_intervention,77,7133610319.172389,16376.0,0.4221294855266251,16340.0,28893.765259021464,33.13235276479779,2.0
baseline,no_intervention,78,7085473186.572911,16387.0,0.42634695157509533,16344.0,28678.994777731616,32.822188589902225,1.0
baseline,no_intervention,79,7129939281.329341,16386.0,0.4204980171011714,16353.0,28843.427352299448,33.58858007175291,1.0
baseline,no_intervention,80,7073591256.710046,16387.0,0.42335142287409616,16349.0,28676.5645288082,32.35136349233932,1.0
baseline,no_intervention,81,7106367517.51789,16386.0,0.42394415308007755,16352.0,28784.206664489244,33.91865670312659,1.0
baseline,no_intervention,82,7111565081.899587,16382.0,0.42384057296750305,16337.0,28781.190952633773,33.05692695659878,1.0
baseline,no_intervention,83,7133534392.252892,16387.0,0.4229914039756626,16353.0,28834.148999742472,32.86695606176568,1.0
baseline,no_intervention,84,7048556754.138932,16387.0,0.4253585375999551,16356.0,28535.200412799066,33.65503934456181,1.0
baseline,no_intervention,85,7139740010.530924,16388.0,0.4207752337639762,16360.0,28936.22154526651,34.34962881608283,1.0
baseline,no_intervention,86,7149081280.124308,16387.0,0.42278937478925593,16359.0,28901.337623643212,31.81817337247195,1.0
baseline,no_intervention,87,7098985932.797998,16387.0,0.42445436479740595,16345.0,28668.55113053864,33.142595829345034,1.0
baseline,no_intervention,88,7125762299.500291,16383.0,0.4233979082876779,16341.0,28862.02400109153,33.73060530274031,1.0
baseline,no_intervention,89,7080274220.307511,16384.0,0.42456786801752233,16334.0,28691.258297417487,32.746092998509376,1.0
baseline,no_intervention,90,7107439066.331432,16389.0,0.42316019484634065,16350.0,28738.00402439385,34.35010961109101,1.0
baseline,no_intervention,91,7105739967.807723,16390.0,0.4228077101303761,16355.0,28820.708855552984,33.98963445123955,1.0
baseline,no_intervention,92,7111321332.121441,16384.0,0.4245013278456364,16335.0,28811.9130551363,34.536180279022396,1.0
baseline,no_intervention,93,7129019221.777371,16381.0,0.4223971899404214,16348.0,28805.39425831615,33.92957373687721,1.0
baseline,no_intervention,94,7107555642.529,16375.0,0.4251025981191793,16325.0,28675.129178877844,33.584298599274604,1.0
baseline,no_intervention,95,7052515443.608078,16382.0,0.4268400086039808,16345.0,28575.76197097601,31.81426741828998,2.0
baseline,no_intervention,96,7068548993.564869,16382.0,0.4253643192845311,16350.0,28616.76149648272,33.18075622047834,1.0
baseline,no_intervention,97,7065235863.019986,16387.0,0.425486999860828,16352.0,28574.051607069327,33.17602072983311,1.0
baseline,no_intervention,98,7086158636.513327,16389.0,0.42474857077305195,16358.0,28723.108769136743,32.752741821276985,1.0
baseline,no_intervention,99,7094364750.874096,16392.0,0.4250745835153134,16357.0,28683.41276421578,34.32764378478016,1.0
baseline,no_intervention,100,7136160200.533823,16388.0,0.4223647724905518,16349.0,28830.95748692274,33.14186060580877,1.0
baseline,no_intervention,101,7071581866.00342,16387.0,0.4257870457161163,16354.0,28602.199093712723,34.18602000367061,1.0
baseline,no_intervention,102,7078775814.07398,16387.0,0.4253711298219866,16354.0,28581.483440336135,33.1671507697999,1.0
baseline,no_intervention,103,7073673439.824578,16391.0,0.4235982506284626,16353.0,28617.21778220862,33.680483226268436,1.0
baseline,no_intervention,104,7128501487.113305,16389.0,0.4214422403914507,16350.0,28944.777777341747,34.30225219994629,1.0
baseline,no_intervention,105,7099341133.940249,16385.0,0.4231070520191764,16355.0,28780.031578953185,34.42896840742607,1.0
baseline,no_intervention,106,7100688811.620603,16388.0,0.4237699112422659,16350.0,28753.20456260595,33.72031473215815,1.0
baseline,no_intervention,107,7094302848.918893,16392.0,0.4238406343669397,16358.0,28753.42604207199,32.45818673658848,1.0
baseline,no_intervention,108,7115731843.445879,16386.0,0.42251286511673763,16355.0,28837.220436562126,34.310773491915505,1.0
baseline,no_intervention,109,7070746676.852982,16387.0,0.4249661963897443,16358.0,28639.01607749172,33.1039767170082,1.0
baseline,no_intervention,110,7104617788.619248,16382.0,0.42332248276286394,16354.0,28770.55430890409,33.10449268482458,1.0
baseline,no_intervention,111,7119726341.791825,16391.0,0.4226160338857066,16348.0,28800.346989531663,33.739592302700295,1.0
baseline,no_intervention,112,7067650457.851137,16385.0,0.4250072407002979,16347.0,28590.786912395957,33.048604258626696,1.0
baseline,no_intervention,113,7092155776.461136,16384.0,0.42475784355683893,16354.0,28652.81921477884,32.77469069913944,1.0
baseline,no_intervention,114,7088924943.400334,16379.0,0.42502651419702864,16332.0,28658.674275817528,34.00674850794917,1.0
baseline,no_intervention,115,7124823808.958452,16387.0,0.4219486667560882,16356.0,28843.173245644342,33.93529323510796,1.0
baseline,no_intervention,116,7076110961.7954035,16386.0,0.424352490261311,16346.0,28672.040886833456,32.99815132908584,1.0
baseline,no_intervention,117,7118984427.636131,16382.0,0.42300863317021375,16347.0,28835.557612676286,33.099473597587014,1.0
baseline,no_intervention,118,7092444385.348204,16385.0,0.4246499435528492,16347.0,28630.33835013615,33.11388606093681,1.0
baseline,no_intervention,119,7111240338.101427,16384.0,0.42332518446305967,16338.0,28817.174004521155,33.37224804560438,1.0
baseline,no_intervention,120,7088518666.696367,16384.0,0.425117773590431,16349.0,28698.582829912066,33.224391709666776,2.0
baseline,no_intervention,121,7083781094.998149,16385.0,0.4246749721151105,16354.0,28690.253370293067,33.54330146238357,1.0
